Date,Open,High,Low,Close,AdjClose,Volume
2021-03-11,57.009998,57.189999,55.470001,55.509998,54.919144,30312900
2021-03-12,55.730000,56.169998,55.610001,55.630001,55.037872,22002400
2021-03-15,55.810001,55.939999,55.099998,55.639999,55.047764,18970600
2021-03-16,55.700001,55.919998,55.439999,55.639999,55.047764,19044700
2021-03-17,55.770000,56.119999,55.290001,55.750000,55.156593,17867000
2021-03-18,55.750000,56.369999,55.660000,56.310001,55.710632,19970700
2021-03-19,56.430000,56.520000,55.950001,56.240002,55.641380,39055000
2021-03-22,55.869999,56.669998,55.770000,56.590000,55.987652,20656600
2021-03-23,56.419998,57.419998,56.380001,56.910000,56.304245,20084100
2021-03-24,56.740002,57.430000,56.630001,57.009998,56.403179,14819800
2021-03-25,57.049999,57.540001,56.700001,57.380001,56.769245,18047400
2021-03-26,57.430000,58.250000,57.380001,58.180000,57.560726,19632700
2021-03-29,58.090000,58.980000,57.950001,58.830002,58.203812,18577300
2021-03-30,58.869999,58.970001,58.230000,58.590000,57.966362,13239700
2021-03-31,58.400002,58.520000,58.060001,58.150002,57.531048,19531700
2021-04-01,58.020000,58.389999,57.740002,58.299999,57.679451,12885100
2021-04-05,58.529999,59.130001,58.459999,58.869999,58.243382,14326300
2021-04-06,58.810001,59.110001,58.680000,59.110001,58.480827,12198300
2021-04-07,59.130001,59.459999,58.790001,59.000000,58.371998,13218400
2021-04-08,58.040001,58.130001,57.529999,57.599998,57.599998,16472400
2021-04-09,57.599998,57.799999,57.250000,57.490002,57.490002,13872000
2021-04-12,57.660000,57.889999,57.430000,57.540001,57.540001,19564600
2021-04-13,57.369999,57.759998,57.160000,57.619999,57.619999,15489100
2021-04-14,57.500000,58.130001,57.290001,57.700001,57.700001,13890100
2021-04-15,57.560001,57.910000,57.540001,57.700001,57.700001,13338400
2021-04-16,58.070000,58.480000,57.799999,58.279999,58.279999,19866200
2021-04-19,58.500000,58.709999,58.090000,58.389999,58.389999,11955400
2021-04-20,58.119999,58.540001,57.970001,58.389999,58.389999,16673600
2021-04-21,58.400002,58.840000,58.049999,58.139999,58.139999,18310100
2021-04-22,57.939999,58.090000,57.139999,57.279999,57.279999,20921900
2021-04-23,57.130001,57.470001,56.779999,57.299999,57.299999,18099400
2021-04-26,57.360001,57.389999,56.849998,56.939999,56.939999,15073600
2021-04-27,56.580002,56.720001,56.200001,56.320000,56.320000,21858600
2021-04-28,56.369999,56.660000,56.340000,56.430000,56.430000,12862500
2021-04-29,56.549999,57.520000,56.529999,57.320000,57.320000,18169200
2021-04-30,57.349998,57.860001,56.959999,57.790001,57.790001,16854600
2021-05-03,58.230000,58.330002,57.869999,57.919998,57.919998,17559100
2021-05-04,57.980000,58.650002,57.950001,58.599998,58.599998,22067700
2021-05-05,58.630001,58.950001,58.630001,58.689999,58.689999,12182500
2021-05-06,58.910000,59.369999,58.689999,59.290001,59.290001,14593100
2021-05-07,58.799999,59.070000,58.599998,58.720001,58.720001,15675900
2021-05-10,59.080002,59.849998,59.020000,59.520000,59.520000,22563000
2021-05-11,59.790001,59.790001,58.290001,58.540001,58.540001,17971900
2021-05-12,58.250000,58.900002,58.150002,58.410000,58.410000,14718600
2021-05-13,58.000000,59.189999,57.959999,58.810001,58.810001,13305100
2021-05-14,59.009998,59.259998,58.669998,58.689999,58.689999,13770000
2021-05-17,58.889999,59.070000,57.869999,57.939999,57.939999,22387000
2021-05-18,57.500000,57.500000,56.639999,57.180000,57.180000,26579000
2021-05-19,56.520000,56.939999,56.349998,56.919998,56.919998,20213500
2021-05-20,56.910000,57.250000,56.750000,56.790001,56.790001,20768900
2021-05-21,57.060001,57.299999,56.740002,56.910000,56.910000,15474400
2021-05-24,57.090000,57.299999,56.779999,56.980000,56.980000,12970700
2021-05-25,57.000000,57.029999,56.290001,56.480000,56.480000,15935100
2021-05-26,56.470001,56.560001,56.270000,56.360001,56.360001,14045200
2021-05-27,56.320000,56.549999,56.020000,56.290001,56.290001,30754300
2021-05-28,56.349998,56.639999,56.290001,56.490002,56.490002,14027800
2021-06-01,56.750000,56.860001,56.240002,56.380001,56.380001,14922800
2021-06-02,56.310001,56.840000,56.169998,56.650002,56.650002,13681100
2021-06-03,56.700001,57.220001,56.580002,56.980000,56.980000,14212500
2021-06-04,56.919998,57.369999,56.900002,57.299999,57.299999,11864100
